text,vote
一只大黑乌鸦飞下来，落在她面前的路上，不停地发出尖锐的叫声。,-1
石壁上偶尔可以看到几只鸟儿飞过。,0
拉斯廷退役后仅有少量财物，开始了艰难的旅程。,-1
圣母玛利亚有一天把小女孩叫到面前，交给她十三把钥匙。,0
小鸭觉得非常悲哀，因为自己长得那么丑陋，而且成了全体鸡鸭的一个嘲笑对象。,-1
每当太陽照在她脸上的时候，她就想起哥哥们给她的吻。,1
镜子回答说：“是你，王后！你就是全国最漂亮的女人。”,1
“真美丽！真精致！真是好极了！”每人都随声附和着。,1
公主用项链奖励忠诚的动物，表现了对猎人和动物们的感激之情。,1
这样，钱就很容易花光了；他的钱就真的这样花光了。,-1
两位哥哥因嫉妒谋害弟弟，替换生命之水，情节紧张。,-1
在意大利的旅途中，旅客们被成群的蚊虫咬得流血。,-1
灰姑娘被迫在厨房劳作，每天早起干重活。,-1
看到白雪公主，她气得昏了过去，自此便一病不起，不久就在嫉妒、愤恨与痛苦的自我煎熬中死去了。,-1
这是一个大学生写的！,0
汤姆用智慧多次脱险，顺利逃离陌生人。,1
他感激命运，让他摆脱了那块沉重的石头，心情愉快。,1
叔父还教给他怎样在没有立足点的石崖上用肘来支持自己。,0
她每一步都像是在刀尖上行走。,-1
“你是一个诗人！”她说，“可能是我们的一个最大的诗人！,1
你是我的诗人——你永远是这样！,1
“我表示十二分地满意！”皇帝说。,1
少年被带到王宫，献上绿宝石小匣子。,0
裁缝失去双眼后依然顽强，坚持不放弃生命。,1
猎人使用龙的舌头和公主的手帕揭露礼仪官的谎言，得到国王的支持。,1
昨天有一个出色的宴会！,1
她还能唱歌，而且唱得那么温柔和甜蜜，从前没有任何人听到过。,1
国王对裁缝提出的苛刻任务使裁缝陷入困境，增加心理压力。,-1
“它一定死了，跟别的东西一起消灭了。”,-1
他们摆出两架织机来，装做是在工作的样子，可是他们的织机上什么东西也没有。,0
小伙子对那半截人说：“还得有半截才行。”,0
“现在是半夜了，一点也不错。”,0
圣彼得在旅途中不断考验拉斯廷的慷慨与诚信。,0
屠夫告诉他母牛已老，汉斯为无法挤奶而沮丧。,-1
鸟儿帮助灰姑娘拣碗豆，完成任务。,1
两只眼得到了女巫的帮助，学会召唤出美味的食物。,1
“你这个白痴，那不是你的鸽子，那是早晨的阳光照在烟囱上面。”继母叫道。,-1
“鼓手用双手紧紧地抓住老巫婆，把她扔进了火海。”,-1
真相揭露后，王子与公主团圆，二人欣喜地重归幸福生活。,1
少女最终成功打破邪恶公主的咒语，与王子重逢。,1
王后听到必须用孩子的性命救约翰时，脸色惨白。,-1
她一开口说话，嘴里就掉出金子来。,1
妻子愤怒地逼迫渔夫去实现不切实际的愿望。,-1
他成功获得国王的信任，赢得了皇宫裁缝的职位。,1
圣母把三个孩子交还给王后，让她重新获得幸福。,1
